From,To,Relation,Relation_details,Actor_A_OCgroupmemberships,Actor_B_OCgroupmemberships
178,1437,Formal Criminal Organization,Ch4,"G18, G21",NONE
178,2045,Co-Offenders,"2048 paid a ""tax"" re operation","G18, G21",NONE
178,1141,Co-Offenders,same cell,"G18, G21","G11, G18"
178,822,Co-Offenders,disturbance,"G18, G21","G11, G19, G21"
178,822,Formal Criminal Organization,,"G18, G21","G11, G19, G21"
178,1759,Associate/Friendship,operates closely,"G18, G21",G18
178,1758,Co-Offenders,moves 179's drugs,"G18, G21",G18
169,178,Co-Offenders,same cell,"G18, G21",G18
178,449,Co-Offenders,same cell,"G18, G21",G18
178,530,Co-Offenders,same cell,"G18, G21",G18
178,569,Co-Offenders,same cell,"G18, G21",G18
178,587,Co-Offenders,same cell,"G18, G21",G18
178,998,Co-Offenders,same cell,"G18, G21",G18
178,1142,Co-Offenders,same cell,"G18, G21",G18
178,1193,Co-Offenders,same cell,"G18, G21",G18
178,1759,Co-Offenders,same cell,"G18, G21",G18
178,1896,Co-Offenders,same cell,"G18, G21",G18
178,2123,Co-Offenders,same cell,"G18, G21",G18
178,2152,Co-Offenders,same cell,"G18, G21",G18
178,1759,Formal Criminal Organization,Ch4,"G18, G21",G18
178,554,Co-Offenders,same cell,"G18, G21","G18, G99"
178,422,Co-Offenders,same cell,"G18, G21",G184
178,968,Associate/Friendship,associate,"G18, G21","G19, G21"
178,1047,Co-Offenders,associate,"G18, G21","G19, G21, G22"
178,888,Co-Offenders,associate,"G18, G21","G19, G21, G22, G109"
178,1820,Associate/Friendship,1823: mentor,"G18, G21",G21
178,448,Associate/Friendship,associate,"G18, G21",G21
178,1820,Co-Offenders,both charged,"G18, G21",G21
178,1820,Formal Criminal Organization,Ch4,"G18, G21",G21
178,2122,Associate/Friendship,associate,"G18, G21",G22
178,2122,Formal Criminal Organization,Ch4 former,"G18, G21",G22
178,936,Co-Offenders,same cell,"G18, G21",G8
178,1570,Co-Offenders,intercepted re drug talk,"G18, G21",G99
181,844,Associate/Friendship,associate,G101,"G23, G69"
37,187,Associate/Friendship,Associate,G52,NONE
187,256,Associate/Friendship,Associate,G52,NONE
187,746,Associate/Friendship,Associate,G52,NONE
187,797,Associate/Friendship,Associate,G52,NONE
187,963,Associate/Friendship,Associate,G52,NONE
